fecha|cliente|servicio|vehiculo|origen|destino|km|cant_tramos
07/01/2011|14|12000|5|06134030|26007020|227|1
05/01/2011|3|12001|2|50056060|14028040|895|1
18/01/2011|7|12002|1|14021280|06119050|141|1
27/01/2011|8|12003|5|50049050|14021320|1075|1
02/01/2011|18|12004|4|14028040|14021280|849|1
16/01/2011|6|12005|2|14028020|06134050|197|1
09/01/2011|12|12006|1|26014010|14182270|517|1
11/01/2011|3|12007|5|50049110|14021230|579|1
09/01/2011|3|12008|2|26007030|14021240|312|1
22/01/2011|14|12009|2|14021250|26014010|876|1
18/01/2011|12|12010|4|06119020|50056060|1125|1
13/01/2011|3|12011|4|06134060|06134040|211|1
27/01/2011|19|12012|2|14021250|06119060|81|1
22/01/2011|3|12013|2|26007020|06224010|155|1
11/01/2011|16|12014|1|06119050|14021290|135|1
13/01/2011|5|12015|5|14182270|26007030|520|1
12/01/2011|20|12016|3|06119020|06119050|625|1
21/01/2011|1|12017|5|06134040|14021270|800|1
31/01/2011|19|12018|3|50049010|50042020|513|1
07/01/2011|15|12019|4|06210050|14182270|898|1
10/01/2011|7|12020|6|06119070|50049110|64|1
29/01/2011|7|12021|4|14021280|26007020|146|1
03/01/2011|2|12022|5|06119050|06217010|539|1
12/01/2011|16|12023|4|14021310|14028020|1095|1
02/01/2011|6|12024|4|50049010|06134050|100|1
16/01/2011|2|12025|5|06112080|14182280|746|1
07/01/2011|18|12026|5|06224010|26014010|493|1
08/01/2011|11|12027|6|06134020|50056050|725|1
01/01/2011|11|12028|5|06126040|14182290|903|1
08/01/2011|9|12029|3|14021290|14028040|547|1
16/01/2011|9|12030|4|14021250|06119070|662|1
13/01/2011|15|12031|4|50049090|06126010|337|1
26/01/2011|2|12032|1|50056060|06119020|46|1
11/01/2011|11|12033|6|06126030|06210050|320|1
16/01/2011|3|12034|6|06112090|14028020|1061|1
13/01/2011|3|12035|5|06217010|50049050|348|1
17/01/2011|2|12036|1|26014010|14028030|754|1
18/01/2011|2|12037|6|14021250|06134010|1078|1
06/01/2011|13|12038|1|06119060|50049090|941|1
30/01/2011|12|12039|3|06217030|06134020|173|1
03/01/2011|12|12040|1|06126010|50035050|488|1
24/02/2011|19|12041|3|14028040|14182270|880|1
20/02/2011|9|12042|4|26007030|14182270|1091|1
26/02/2011|10|12043|5|06119040|14182280|328|1
01/02/2011|7|12044|3|06217010|14021270|890|1
09/02/2011|16|12045|4|14021230|14021310|912|1
16/02/2011|13|12046|2|06126020|06119010|1134|1
17/02/2011|16|12047|5|14021270|14021320|293|1
28/02/2011|13|12048|3|06126040|06224010|379|1
19/02/2011|9|12049|1|06210050|50056050|267|1
26/02/2011|19|12050|5|14182280|14182270|697|1
25/02/2011|3|12051|5|14182290|14028030|988|1
22/02/2011|15|12052|2|06126010|06126030|607|1
20/02/2011|14|12053|5|26014010|06210050|948|1
14/02/2011|13|12054|4|26007030|06119050|80|1
11/02/2011|5|12055|6|06217030|06224010|636|1
20/02/2011|4|12056|2|50042020|06119020|399|1
24/02/2011|8|12057|5|14021320|06119070|620|1
13/02/2011|19|12058|4|06112090|14028050|901|1
22/02/2011|18|12059|6|50035060|06119080|759|1
20/02/2011|17|12060|4|14182280|14182270|573|1
22/02/2011|3|12061|1|14021280|06119060|65|1
25/02/2011|1|12062|4|14021250|06224020|603|1
17/02/2011|18|12063|5|06224020|06217010|114|1
20/02/2011|5|12064|6|06126020|50049050|288|1
13/02/2011|19|12065|3|14182290|50049110|318|1
06/02/2011|20|12066|1|26014010|50049010|893|1
26/02/2011|18|12067|6|06134010|26007030|194|1
18/02/2011|1|12068|3|26007020|06134020|123|1
12/02/2011|1|12069|6|06224020|26014010|824|1
